key,english,japanese,korean,arabic,german,indonesian,portuguese,russian,chinesesimplified,chinesetraditional,spanish,thai
Level,Level,Level,Level,Level,Level,Level,Level,Level,层次,水準,Level,Level
LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,层次,水準,LEVEL,LEVEL
SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,SWIPE TO MOVE,刷卡至迁,刷卡至遷,SWIPE TO MOVE,SWIPE TO MOVE
GET WOOD,GET WOOD,GET WOOD,GET WOOD,GET WOOD,GET WOOD,GET WOOD,GET WOOD,GET WOOD,获取木材,獲取木材,GET WOOD,GET WOOD
LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,LUMBER MILL,锯木厂,鋸木廠,LUMBER MILL,LUMBER MILL
CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,CAPACITY: %d,容量: %d,容量: %d,CAPACITY: %d,CAPACITY: %d
CAPACITY,CAPACITY,CAPACITY,CAPACITY,CAPACITY,CAPACITY,CAPACITY,CAPACITY,CAPACITY,容量,容量,CAPACITY,CAPACITY
PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,PER MIN: %d,每分钟: %d,每分鐘: %d,PER MIN: %d,PER MIN: %d
PER MIN,PER MIN,PER MIN,PER MIN,PER MIN,PER MIN,PER MIN,PER MIN,PER MIN,每分钟,每分鐘,PER MIN,PER MIN
UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,升级,升級,UPGRADE,UPGRADE
NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,NOT ENOUGH COIN!,没有足够的硬币!,沒有足夠的硬幣!,NOT ENOUGH COIN!,NOT ENOUGH COIN!
HOUSE,HOUSE,HOUSE,HOUSE,HOUSE,HOUSE,HOUSE,HOUSE,HOUSE,房子,房子,HOUSE,HOUSE
Tap To Start,Tap To Start,Tap To Start,Tap To Start,Tap To Start,Tap To Start,Tap To Start,Tap To Start,Tap To Start,点击开始,點擊開始,Tap To Start,Tap To Start
STORE,STORE,STORE,STORE,STORE,STORE,STORE,STORE,STORE,商店,店鋪,STORE,STORE
CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,CLIENT %d/3,客户 %d/3,客戶 %d/3,CLIENT %d/3,CLIENT %d/3
NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,NEXT OFFER,下一个优惠,下一個優惠,NEXT OFFER,NEXT OFFER
Victory,Victory,Victory,Victory,Victory,Victory,Victory,Victory,Victory,胜利,勝利,Victory,Victory
Claim Now!,Claim Now!,Claim Now!,Claim Now!,Claim Now!,Claim Now!,Claim Now!,Claim Now!,Claim Now!,现在宣称！,現在領取！,Claim Now!,Claim Now!
Next,Next,次,다음,التالي,Nächster,Berikutnya,Próximo,Следующий,下一个,下一個,Siguiente,ต่อไป
Good,Good,Good,Good,Good,Good,Good,Good,Good,好的,好,Good,Good
Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,坏的,壞的,Bad,Bad
Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,完美的,完善,Perfect,Perfect
BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,BUILD HOME,建房子,建房子,BUILD HOME,BUILD HOME
BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,BUILD MILL,建厂家,建廠家,BUILD MILL,BUILD MILL